<1|Room 1.mp4>,<2|Room 2.mp4>,<3|Room 3.mp4>,<4|Room 4.mp4>,<5|Room 5.mp4>,<6|Room 6.mp4>,
C,6,177,,,1,אין התייחסות לשימור תכונה לאחר גרירה
C,6,247,,,1,התבססות על נתונים שאינם בשאלה
C,6,439,,,2,טענה בעקבות חקירה ביישומון
C,6,455,,,2,הסכמה על טענה
C,6,494,,,2,סיום משימה ומעבר למשימה הבאה
C,6,615,,,2,טענה בעקבות חקירה ביישומון
C,6,615,,,2,הסכמה על טענה
C,6,648,,,2,מעבר לחשיבה דדוקטיבית
C,6,736,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,6,766,,,2,שתי דרכי הוכחה מוצעות במקביל
C,6,835,,,1,התבססות על נתונים שאינם בשאלה
C,6,846,,,2,אי הסכמה
C,6,977,,,1,התבססות על נתונים שאינם בשאלה
C,6,999,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,6,1062,,,1,ניסוח הטענה אינו מדויק
C,6,1085,,,2,סיום משימה ומעבר למשימה הבאה
C,6,1177,,,2,הסכמה על טענה
U,6,300,<Shira|14>,<Adam|7>,<Micha-Sw|9>,
U,6,600,<Shira|25>,<Adam|15>,<Micha-Sw|23>,
U,6,900,<Shira|42>,<Adam|32>,<Micha-Sw|39>,
U,6,1200,<Shira|60>,<Adam|50>,<Micha-Sw|55>,
C,5,151,,,2,טענה בעקבות חקירה ביישומון
C,5,181,,,2,הגעה לתובנה
C,5,282,,,2,טענה בעקבות חקירה ביישומון
C,5,311,,,2,הגעה לתובנה
C,5,385,,,1,סיום משימה ומעבר למשימה הבאה
C,5,496,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,5,551,,,2,מעבר לחשיבה דדוקטיבית
C,5,595,,,2,שתי דרכי הוכחה מוצעות במקביל
C,5,613,,,2,הגעה לתובנה
C,5,703,,,1,סיום משימה ומעבר למשימה הבאה
C,5,832,,,2,הוכחה לא מפורטת
C,5,848,,,2,הסכמה על טענה
C,5,887,,,2,הסכמה מהירה
C,5,978,,,2,מעבר לחשיבה דדוקטיבית
C,5,1047,,,2,אי הסכמה
C,5,1159,,,2,הגעה לתובנה
C,5,1190,,,2,הגעה לתובנה
C,5,1198,,,1,סיום פעילות
U,5,300,<Avia|18>,<Neta|10>,,
U,5,600,<Avia|35>,<Neta|25>,,
U,5,900,<Avia|56>,<Neta|39>,,
U,5,1200,<Avia|75>,<Neta|59>,,
