<1|video1.mp4>,<2|video2.mp4>
U,1,0,<Sary|0>,<Mohand|0>,<Rahma|0>
C,1,50,Mohand,IC,2,טענה בעקבות חקירה ביישומון
U,1,60,<Sary|3>,<Mohand|2>,<Rahma|2>
C,1,100,server,CR,2,תלמידים כותבים בו-זמנית
U,1,120,<Sary|7>,<Mohand|5>,<Rahma|7>
C,1,134,Mohand,CR,1,התבססות על מדידות ביישומון ולא על נתוני הבעיה
C,1,144,server,CR,2,תלמידים כותבים בו-זמנית
C,1,168,server,CR,2,שתי דרכי הוכחה מוצעות בו-זמנית
U,1,180,<Sary|11>,<Mohand|9>,<Rahma|10>
C,1,181,Mohand,CR,1,התבססות על נתונים שאינם בבעיה
C,1,187,Sary,CH,2,תלמיד מאתגר את עמיתיו
C,1,239,Mohand,CR,1,התבססות על נתונים שאינם בבעיה
U,1,240,<Sary|15>,<Mohand|17>,<Rahma|13>
C,1,260,server,CR,2,אי-הסכמה
U,1,300,<Sary|21>,<Mohand|20>,<Rahma|17>
C,1,313,server,Cag,2,הגעה לטיעון משותף
C,1,317,server,CR,1,סיום משימה ומעבר למשימה הבאה
U,2,0,<User1|0>,<User2|0>,<User3|0>
C,2,5,User1,T,1,test room 2 c
C,2,8,User1,T,1,ארוווווווווווווווךךךךךךךךךךךךךךךךךךךךךךךךךךךךמדדדדדדדדדדדדדדדדידייייייייייייי
C,1,4,Mohand,IC,2,מוקדם
